"Table with row headers in column A and column headers in rows 5, 58, 111, 164, 217, 270, 323, 376, 429, 482, 535, 588, 641, 694, 747, 800, 853, 906, 959, 1012, 1065, 1118, 1171, 1224, 1277, 1330, 1383, 1436, 1489, 1542, 1595, 1648, 1701, 1754, 1807, 1860, 1913, 1966, 2019, 2072, 2125, 2178, 2231, 2284, 2337, and 2390",,,,,
Table 19. Number of Poor and Poverty Rate by State: 1980 to 2023,,,,,
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar24.pdf>)",,,,,
2023,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Wisconsin,"5,118",560,125,10.9,2.5
Wyoming,475,49,15,10.3,3.0
1991 (14),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,178",786,137,18.8,3.3
Alaska,525,62,13,11.8,2.6
Arizona,"3,603",532,110,14.8,3.1
Arkansas,"2,450",425,77,17.3,3.1
California,"30,740","4,825",360,15.7,1.2
Colorado,"3,319",347,92,10.4,2.8
Connecticut,"3,341",287,90,8.6,2.6
Delaware,709,53,16,7.5,2.5
District of Columbia,530,98,21,18.6,4.1
Florida,"13,410","2,069",201,15.4,1.5
Georgia,"6,265","1,077",202,17.2,3.3
Hawaii,"1,164",90,28,7.7,2.3
Idaho,"1,035",144,28,13.9,2.8
Illinois,"11,800","1,598",181,13.5,1.5
Indiana,"5,533",866,179,15.7,3.3
Iowa,"2,821",271,69,9.6,2.5
Kansas,"2,580",317,69,12.3,2.6
Kentucky,"3,640",683,123,18.8,3.5
Louisiana,"4,185",795,146,19.0,3.5
Maine,"1,213",171,38,14.1,3.1
Maryland,"4,767",432,123,9.1,2.6
Massachusetts,"5,803",637,84,11.0,1.5
Michigan,"9,263","1,308",145,14.1,1.6
Minnesota,"4,384",564,128,12.9,3.0
Mississippi,"2,681",635,90,23.7,3.5
Missouri,"4,993",740,160,14.8,3.1
Montana,822,127,25,15.4,3.0
Nebraska,"1,661",157,38,9.5,2.3
Nevada,"1,237",141,35,11.4,2.8
New Hampshire,"1,107",81,28,7.3,2.5
New Jersey,"7,736",754,104,9.7,1.3
New Mexico,"1,554",349,53,22.4,3.5
New York,"17,910","2,736",219,15.3,1.2
North Carolina,"6,641",964,102,14.5,1.5
North Dakota,635,92,18,14.5,2.8
Ohio,"11,060","1,488",166,13.4,1.5
Oklahoma,"3,173",541,100,17.0,3.1
Oregon,"2,967",401,92,13.5,3.1
Pennsylvania,"12,150","1,340",166,11.0,1.3
Rhode Island,949,99,28,10.4,3.0
South Carolina,"3,538",582,100,16.4,2.8
South Dakota,689,96,18,14.0,2.6
Tennessee,"4,787",744,145,15.5,3.0
Texas,"16,960","2,965",281,17.5,1.6
Utah,"1,717",222,48,12.9,2.8
Vermont,579,73,18,12.6,3.1
Virginia,"6,144",608,140,9.9,2.3
Washington,"4,989",474,123,9.5,2.5
West Virginia,"1,830",327,61,17.9,3.3
Wisconsin,"4,952",492,118,9.9,2.5
Wyoming,470,47,13,9.9,3.0
1990,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,063",779,137,19.2,3.3
Alaska,499,57,13,11.4,2.6
Arizona,"3,521",484,107,13.7,3.0
Arkansas,"2,411",472,81,19.6,3.3
California,"29,770","4,128",337,13.9,1.2
Colorado,"3,367",461,104,13.7,3.1
Connecticut,"3,265",196,76,6.0,2.3
Delaware,690,48,16,6.9,2.3
District of Columbia,570,120,23,21.1,4.1
Florida,"13,180","1,896",192,14.4,1.5
Georgia,"6,349","1,001",197,15.8,3.1
Hawaii,"1,100",121,31,11.0,2.8
Idaho,"1,048",157,30,14.9,2.8
Illinois,"11,700","1,606",183,13.7,1.6
Indiana,"5,480",714,165,13.0,3.0
Iowa,"2,784",289,71,10.4,2.6
Kansas,"2,510",259,63,10.3,2.5
Kentucky,"3,620",628,120,17.3,3.3
Louisiana,"4,034",952,158,23.6,3.8
Maine,"1,231",162,36,13.1,3.0
Maryland,"4,727",468,128,9.9,2.8
Massachusetts,"5,832",626,84,10.7,1.5
Michigan,"9,187","1,315",145,14.3,1.6
Minnesota,"4,366",524,125,12.0,2.8
Mississippi,"2,663",684,92,25.7,3.5
Missouri,"5,238",700,156,13.4,3.0
Montana,820,134,25,16.3,3.1
Nebraska,"1,617",167,39,10.3,2.5
Nevada,"1,218",119,31,9.8,2.6
New Hampshire,"1,085",68,26,6.3,2.5
New Jersey,"7,741",711,100,9.2,1.3
New Mexico,"1,524",319,51,20.9,3.5
New York,"18,040","2,571",212,14.3,1.2
North Carolina,"6,377",829,95,13.0,1.5
North Dakota,635,87,18,13.7,2.8
Ohio,"10,890","1,256",155,11.5,1.5
Oklahoma,"3,091",481,95,15.6,3.1
Oregon,"2,891",267,77,9.2,2.6
Pennsylvania,"12,100","1,328",165,11.0,1.3
Rhode Island,946,71,25,7.5,2.6
South Carolina,"3,391",548,99,16.2,3.0
South Dakota,696,93,18,13.3,2.6
Tennessee,"4,927",833,151,16.9,3.1
Texas,"16,870","2,684",270,15.9,1.6
Utah,"1,739",143,39,8.2,2.3
Vermont,564,61,16,10.9,3.0
Virginia,"6,322",705,150,11.1,2.3
Washington,"4,880",434,118,8.9,2.5
West Virginia,"1,810",328,61,18.1,3.3
Wisconsin,"4,815",448,114,9.3,2.3
Wyoming,463,51,15,11.0,3.1
1989,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,074",770,137,18.9,3.3
Alaska,488,51,13,10.5,2.5
Arizona,"3,556",502,109,14.1,3.1
Arkansas,"2,419",442,79,18.3,3.3
California,"29,350","3,772",324,12.9,1.2
Colorado,"3,258",393,97,12.1,3.0
Connecticut,"3,136",90,53,2.9,1.6
Delaware,676,68,20,10.0,2.8
District of Columbia,569,102,23,18.0,3.9
Florida,"12,760","1,590",179,12.5,1.5
Georgia,"6,197",929,191,15.0,3.1
Hawaii,"1,086",122,31,11.3,3.0
Idaho,"1,014",126,28,12.4,2.6
Illinois,"11,560","1,470",176,12.7,1.5
Indiana,"5,453",749,168,13.7,3.1
Iowa,"2,835",291,71,10.3,2.5
Kansas,"2,434",262,63,10.8,2.6
Kentucky,"3,576",576,115,16.1,3.3
Louisiana,"4,080",950,156,23.3,3.8
Maine,"1,233",128,33,10.4,2.6
Maryland,"4,567",411,122,9.0,2.6
Massachusetts,"5,831",513,77,8.8,1.3
Michigan,"9,297","1,228",141,13.2,1.5
Minnesota,"4,268",478,120,11.2,2.8
Mississippi,"2,574",566,87,22.0,3.3
Missouri,"5,193",654,151,12.6,3.0
Montana,816,127,25,15.6,3.0
Nebraska,"1,602",204,43,12.8,2.6
Nevada,"1,127",121,31,10.8,2.8
New Hampshire,"1,100",84,28,7.7,2.6
New Jersey,"7,623",622,95,8.2,1.3
New Mexico,"1,519",297,51,19.5,3.3
New York,"17,940","2,254",201,12.6,1.2
North Carolina,"6,301",770,92,12.2,1.5
North Dakota,642,79,16,12.2,2.6
Ohio,"10,750","1,143",148,10.6,1.3
Oklahoma,"3,126",460,94,14.7,3.0
Oregon,"2,915",327,84,11.2,3.0
Pennsylvania,"12,140","1,261",161,10.4,1.3
Rhode Island,963,64,23,6.7,2.5
South Carolina,"3,446",585,100,17.0,3.0
South Dakota,696,92,18,13.2,2.6
Tennessee,"4,833",891,155,18.4,3.1
Texas,"16,890","2,880",278,17.1,1.6
Utah,"1,683",138,39,8.2,2.3
Vermont,556,44,15,8.0,2.6
Virginia,"6,159",671,146,10.9,2.3
Washington,"4,729",455,120,9.6,2.6
West Virginia,"1,799",283,56,15.7,3.1
Wisconsin,"4,694",393,107,8.4,2.3
Wyoming,462,50,15,10.9,3.1
1988 (15),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,015",775,137,19.3,3.5
Alaska,480,53,13,11.0,2.8
Arizona,"3,491",491,107,14.1,3.1
Arkansas,"2,446",527,84,21.6,3.5
California,"27,860","3,687",410,13.2,1.5
Colorado,"3,237",405,99,12.5,3.1
Connecticut,"3,199",128,61,4.0,2.0
Delaware,659,57,16,8.6,2.6
District of Columbia,579,88,20,15.2,3.5
Florida,"12,500","1,704",176,13.6,1.5
Georgia,"6,230",875,178,14.0,2.8
Hawaii,"1,051",117,30,11.1,2.8
Idaho,991,124,28,12.5,2.8
Illinois,"11,340","1,436",174,12.7,1.5
Indiana,"5,530",560,148,10.1,2.6
Iowa,"2,814",263,67,9.4,2.5
Kansas,"2,399",195,56,8.1,2.3
Kentucky,"3,605",634,122,17.6,3.3
Louisiana,"4,249",968,161,22.8,3.8
Maine,"1,201",159,35,13.2,3.0
Maryland,"4,650",457,127,9.8,2.8
Massachusetts,"5,861",497,76,8.5,1.3
Michigan,"9,223","1,112",137,12.1,1.5
Minnesota,"4,421",514,122,11.6,2.8
Mississippi,"2,588",704,95,27.2,3.6
Missouri,"5,201",662,153,12.7,3.0
Montana,795,116,23,14.6,3.0
Nebraska,"1,600",164,39,10.3,2.5
Nevada,"1,084",93,28,8.6,2.6
New Hampshire,"1,089",73,26,6.7,2.3
New Jersey,"7,628",475,82,6.2,1.2
New Mexico,"1,495",343,51,23.0,3.5
New York,"17,640","2,369",258,13.4,1.5
North Carolina,"6,312",796,94,12.6,1.5
North Dakota,654,76,16,11.6,2.6
Ohio,"10,900","1,356",158,12.4,1.5
Oklahoma,"3,146",543,102,17.3,3.3
Oregon,"2,727",285,79,10.4,3.0
Pennsylvania,"12,120","1,246",161,10.3,1.3
Rhode Island,"1,008",99,28,9.8,2.8
South Carolina,"3,405",528,95,15.5,2.8
South Dakota,707,101,18,14.2,2.6
Tennessee,"4,901",883,156,18.0,3.1
Texas,"16,690","3,006",283,18.0,1.6
Utah,"1,662",162,41,9.8,2.5
Vermont,532,43,13,8.1,2.6
Virginia,"5,970",647,143,10.8,2.5
Washington,"4,625",402,114,8.7,2.5
West Virginia,"1,880",337,61,17.9,3.3
Wisconsin,"4,696",364,104,7.8,2.1
Wyoming,454,43,13,9.6,3.0
1987 (15),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"3,989",851,141,21.3,3.6
Alaska,499,60,13,12.0,2.8
Arizona,"3,459",444,102,12.8,3.0
Arkansas,"2,468",537,84,21.8,3.5
California,"27,880","3,443",309,12.3,1.2
Colorado,"3,184",398,99,12.5,3.1
Connecticut,"3,127",207,69,6.6,2.3
Delaware,637,42,15,6.6,2.3
District of Columbia,587,88,20,14.9,3.5
Florida,"12,260","1,523",168,12.4,1.3
Georgia,"6,049",883,178,14.6,3.0
Hawaii,"1,086",95,26,8.8,2.5
Idaho,991,150,30,15.1,3.0
Illinois,"11,500","1,655",184,14.4,1.6
Indiana,"5,398",597,128,11.1,2.3
Iowa,"2,892",419,84,14.5,3.0
Kansas,"2,435",225,59,9.2,2.5
Kentucky,"3,666",634,122,17.3,3.3
Louisiana,"4,268","1,071",168,25.1,3.9
Maine,"1,144",134,33,11.7,2.8
Maryland,"4,558",420,102,9.2,2.3
Massachusetts,"5,845",477,74,8.2,1.3
Michigan,"8,973","1,095",135,12.2,1.5
Minnesota,"4,294",484,118,11.3,2.8
Mississippi,"2,553",637,92,25.0,3.6
Missouri,"5,100",716,140,14.0,2.8
Montana,798,144,26,18.0,3.3
Nebraska,"1,610",191,43,11.9,2.6
Nevada,"1,026",107,30,10.4,3.0
New Hampshire,"1,054",51,21,4.8,2.0
New Jersey,"7,503",626,95,8.3,1.3
New Mexico,"1,443",280,48,19.4,3.3
New York,"17,470","2,506",211,14.3,1.2
North Carolina,"6,183",853,97,13.8,1.5
North Dakota,655,75,16,11.4,2.6
Ohio,"10,800","1,375",160,12.7,1.5
Oklahoma,"3,209",547,100,17.0,3.1
Oregon,"2,709",384,90,14.2,3.3
Pennsylvania,"11,770","1,249",161,10.6,1.3
Rhode Island,974,79,25,8.1,2.6
South Carolina,"3,274",512,94,15.6,3.0
South Dakota,714,109,20,15.2,2.8
Tennessee,"4,679",792,150,16.9,3.1
Texas,"16,610","2,917",280,17.6,1.6
Utah,"1,689",173,43,10.2,2.5
Vermont,534,50,15,9.3,2.8
Virginia,"5,871",583,137,9.9,2.3
Washington,"4,489",450,120,10.0,2.6
West Virginia,"1,889",408,66,21.6,3.5
Wisconsin,"4,738",428,110,9.0,2.3
Wyoming,451,49,15,10.8,3.1
1986,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,025",959,143,23.8,3.6
Alaska,517,59,13,11.4,2.5
Arizona,"3,386",484,104,14.3,3.1
Arkansas,"2,342",499,79,21.3,3.5
California,"27,080","3,453",303,12.7,1.2
Colorado,"3,157",426,97,13.5,3.1
Connecticut,"3,125",186,71,6.0,2.3
Delaware,639,79,20,12.4,3.1
District of Columbia,602,77,20,12.8,3.3
Florida,"11,780","1,342",161,11.4,1.3
Georgia,"6,023",879,181,14.6,3.0
Hawaii,"1,024",109,30,10.7,2.8
Idaho,973,180,31,18.5,3.1
Illinois,"11,450","1,517",173,13.3,1.5
Indiana,"5,312",674,156,12.7,3.0
Iowa,"2,907",376,77,12.9,2.6
Kansas,"2,433",269,63,11.1,2.5
Kentucky,"3,560",630,115,17.7,3.3
Louisiana,"4,338",953,153,22.0,3.5
Maine,"1,127",115,31,10.2,2.6
Maryland,"4,504",414,118,9.2,2.6
Massachusetts,"5,846",538,76,9.2,1.3
Michigan,"9,112","1,267",138,13.9,1.5
Minnesota,"4,131",517,120,12.5,3.0
Mississippi,"2,610",695,90,26.6,3.5
Missouri,"4,998",722,153,14.4,3.1
Montana,823,136,25,16.5,3.0
Nebraska,"1,617",220,43,13.6,2.6
Nevada,"1,010",82,26,8.1,2.5
New Hampshire,"1,002",37,18,3.7,1.8
New Jersey,"7,624",679,95,8.9,1.8
New Mexico,"1,434",306,49,21.3,3.5
New York,"17,590","2,322",197,13.2,1.2
North Carolina,"6,178",884,95,14.3,1.5
North Dakota,651,88,16,13.5,2.6
Ohio,"10,700","1,372",155,12.8,1.5
Oklahoma,"3,184",469,92,14.7,3.0
Oregon,"2,702",332,82,12.3,3.0
Pennsylvania,"11,780","1,190",153,10.1,1.3
Rhode Island,953,87,26,9.1,2.8
South Carolina,"3,288",569,97,17.3,3.0
South Dakota,697,118,20,17.0,2.8
Tennessee,"4,650",853,148,18.3,3.1
Texas,"16,370","2,825",268,17.3,1.6
Utah,"1,659",209,44,12.6,2.8
Vermont,529,58,16,11.0,3.0
Virginia,"5,624",547,130,9.7,2.3
Washington,"4,369",563,128,12.9,3.0
West Virginia,"1,927",432,64,22.4,3.5
Wisconsin,"4,697",501,115,10.7,2.5
Wyoming,496,73,16,14.6,3.3
1985 (16),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"3,981",821,135,20.6,3.5
Alaska,510,45,12,8.7,2.3
Arizona,"3,227",345,89,10.7,2.8
Arkansas,"2,364",541,82,22.9,3.5
California,"26,460","3,596",309,13.6,1.2
Colorado,"3,176",324,87,10.2,2.8
Connecticut,"3,111",237,81,7.6,2.6
Delaware,624,71,18,11.4,3.0
District of Columbia,603,123,23,20.4,3.9
Florida,"11,540","1,551",173,13.4,1.5
Georgia,"5,867","1,037",194,17.7,3.3
Hawaii,"1,018",109,30,10.7,2.8
Idaho,996,159,30,16.0,3.0
Illinois,"11,740","1,830",186,15.6,1.6
Indiana,"5,302",639,153,12.0,2.8
Iowa,"2,815",505,87,17.9,3.1
Kansas,"2,395",331,67,13.8,2.8
Kentucky,"3,650",708,122,19.4,3.3
Louisiana,"4,322",781,141,18.1,3.3
Maine,"1,129",134,33,11.9,3.0
Maryland,"4,209",364,112,8.7,2.6
Massachusetts,"5,899",544,77,9.2,1.3
Michigan,"9,051","1,308",141,14.5,1.5
Minnesota,"4,146",523,120,12.6,3.0
Mississippi,"2,564",644,87,25.1,3.5
Missouri,"5,011",689,150,13.7,3.0
Montana,835,134,25,16.0,2.8
Nebraska,"1,589",235,44,14.8,2.8
Nevada,968,139,33,14.4,3.3
New Hampshire,988,59,23,6.0,2.5
New Jersey,"7,608",631,92,8.3,1.2
New Mexico,"1,447",267,46,18.5,3.3
New York,"17,670","2,796",214,15.8,1.2
North Carolina,"6,073",863,94,14.2,1.5
North Dakota,681,108,18,15.9,2.8
Ohio,"10,630","1,359",155,12.8,1.5
Oklahoma,"3,280",526,97,16.0,3.0
Oregon,"2,671",317,81,11.9,3.0
Pennsylvania,"11,550","1,217",155,10.5,1.3
Rhode Island,933,84,25,9.0,2.8
South Carolina,"3,219",489,90,15.2,2.8
South Dakota,689,119,20,17.3,2.8
Tennessee,"4,619",837,146,18.1,3.1
Texas,"16,230","2,582",258,15.9,1.6
Utah,"1,652",180,43,10.9,2.6
Vermont,524,48,15,9.2,2.8
Virginia,"5,567",558,130,10.0,2.3
Washington,"4,371",526,125,12.0,2.8
West Virginia,"1,894",423,64,22.3,3.5
Wisconsin,"4,693",544,120,11.6,2.6
Wyoming,506,61,15,12.0,3.0
1984 (17),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"3,875",738,125,19.1,3.0
Alaska,507,49,33,9.6,6.1
Arizona,"3,133",569,110,18.2,3.1
Arkansas,"2,364",564,110,23.9,4.1
California,"25,600","3,375",268,13.2,1.0
Colorado,"3,067",274,77,8.9,2.5
Connecticut,"3,152",218,69,6.9,2.1
Delaware,611,63,36,10.3,5.8
District of Columbia,607,128,53,21.1,7.7
Florida,"11,190","1,693",191,15.1,1.6
Georgia,"5,822",981,145,16.9,2.3
Hawaii,997,92,44,9.3,4.3
Idaho,992,171,61,17.3,5.6
Illinois,"11,650","1,753",194,15.0,1.5
Indiana,"5,419",697,122,12.9,2.1
Iowa,"2,876",419,95,14.6,3.1
Kansas,"2,420",260,74,10.7,3.0
Kentucky,"3,721",709,123,19.1,3.0
Louisiana,"4,304",888,138,20.6,2.8
Maine,"1,167",152,58,13.0,4.6
Maryland,"4,106",358,87,8.7,2.0
Massachusetts,"5,845",519,105,8.9,1.6
Michigan,"8,962","1,495",179,16.7,1.8
Minnesota,"4,164",381,90,9.1,2.1
Mississippi,"2,504",628,117,25.1,3.9
Missouri,"4,958",720,125,14.5,2.3
Montana,836,115,49,13.8,5.6
Nebraska,"1,608",213,67,13.3,3.9
Nevada,962,101,46,10.5,4.6
New Hampshire,958,68,38,7.1,3.8
New Jersey,"7,511",758,128,10.1,1.6
New Mexico,"1,437",280,77,19.5,4.8
New York,"17,560","2,806",245,16.0,1.3
North Carolina,"5,900",860,137,14.6,2.1
North Dakota,683,106,48,15.4,6.4
Ohio,"10,620","1,429",174,13.5,1.5
Oklahoma,"3,200",426,95,13.3,2.8
Oregon,"2,593",331,84,12.8,3.0
Pennsylvania,"11,720","1,825",197,15.6,1.5
Rhode Island,946,121,51,12.8,5.1
South Carolina,"3,258",561,110,17.2,3.1
South Dakota,691,100,46,14.5,6.3
Tennessee,"4,603",800,132,17.4,2.6
Texas,"15,640","2,448",229,15.7,1.3
Utah,"1,647",183,63,11.1,3.6
Vermont,514,65,38,12.6,6.7
Virginia,"5,563",554,109,10.0,1.8
Washington,"4,242",479,102,11.3,2.3
West Virginia,"1,922",392,92,20.4,4.3
Wisconsin,"4,698",730,125,15.5,2.5
Wyoming,488,53,35,10.9,6.6
1983,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"3,950",909,146,23.0,3.3
Alaska,486,61,13,12.6,2.5
Arizona,"2,875",469,100,16.3,3.3
Arkansas,"2,283",492,92,21.5,3.6
California,"25,170","3,755",319,14.9,1.2
Colorado,"3,083",390,90,12.6,2.8
Connecticut,"3,149",276,82,8.8,2.5
Delaware,602,52,16,8.6,2.6
District of Columbia,604,130,28,21.5,4.1
Florida,"10,850","1,595",219,14.7,1.8
Georgia,"5,581","1,050",176,18.8,2.8
Hawaii,998,129,31,12.9,3.0
Idaho,980,174,36,17.7,3.3
Illinois,"11,350","1,617",217,14.3,1.8
Indiana,"5,382",865,150,16.1,2.6
Iowa,"2,828",473,100,16.7,3.3
Kansas,"2,369",321,79,13.6,3.1
Kentucky,"3,752",670,140,17.9,3.5
Louisiana,"4,360",939,148,21.5,3.0
Maine,"1,157",144,36,12.4,3.0
Maryland,"4,112",358,95,8.7,2.3
Massachusetts,"5,731",443,97,7.7,1.6
Michigan,"9,056","1,518",204,16.8,2.1
Minnesota,"4,138",502,118,12.1,2.6
Mississippi,"2,481",669,105,27.0,3.6
Missouri,"4,837",807,148,16.7,2.8
Montana,810,125,28,15.4,3.1
Nebraska,"1,577",240,54,15.2,3.1
Nevada,885,86,26,9.7,2.8
New Hampshire,938,76,25,8.1,2.6
New Jersey,"7,451",828,146,11.1,1.8
New Mexico,"1,385",340,59,24.5,3.6
New York,"17,580","2,817",271,16.0,1.5
North Carolina,"5,890",933,168,15.8,2.6
North Dakota,685,103,23,15.0,3.1
Ohio,"10,680","1,434",199,13.4,1.8
Oklahoma,"3,259",553,107,17.0,3.0
Oregon,"2,597",419,95,16.1,3.3
Pennsylvania,"11,640","1,797",222,15.4,1.8
Rhode Island,971,141,35,14.5,3.3
South Carolina,"3,295",687,123,20.8,3.3
South Dakota,689,127,25,18.4,3.3
Tennessee,"4,663",933,166,20.0,3.1
Texas,"15,590","2,499",283,16.0,1.6
Utah,"1,591",214,48,13.5,2.8
Vermont,531,83,20,15.6,3.5
Virginia,"5,448",618,155,11.3,2.6
Washington,"4,274",460,120,10.8,2.6
West Virginia,"1,898",419,74,22.1,3.5
Wisconsin,"4,736",504,132,10.7,2.6
Wyoming,486,61,16,12.6,3.1
1982,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"3,937",849,135,21.6,3.0
Alaska,432,46,31,10.6,6.9
Arizona,"2,765",408,94,14.8,3.1
Arkansas,"2,219",527,107,23.8,4.1
California,"24,610","3,475",271,14.1,1.0
Colorado,"3,064",387,90,12.6,2.8
Connecticut,"3,126",254,74,8.1,2.3
Delaware,611,70,39,11.5,5.9
District of Columbia,609,117,51,19.3,7.4
Florida,"10,510","1,601",184,15.2,1.6
Georgia,"5,472","1,074",151,19.6,2.5
Hawaii,997,132,53,13.2,4.9
Idaho,967,151,58,15.6,5.4
Illinois,"11,280","1,512",179,13.4,1.5
Indiana,"5,415",683,122,12.6,2.1
Iowa,"2,770",371,89,13.4,3.0
Kansas,"2,365",247,72,10.4,3.0
Kentucky,"3,618",587,112,16.2,2.8
Louisiana,"4,299",976,145,22.7,3.0
Maine,"1,133",156,58,13.7,4.8
Maryland,"4,190",516,105,12.3,2.3
Massachusetts,"5,748",590,112,10.3,1.8
Michigan,"9,117","1,481",178,16.2,1.8
Minnesota,"4,120",546,109,13.3,2.5
Mississippi,"2,454",562,110,22.9,3.9
Missouri,"4,798",699,122,14.6,2.3
Montana,793,134,54,17.0,6.3
Nebraska,"1,582",216,67,13.6,3.9
Nevada,897,70,39,7.8,4.1
New Hampshire,943,97,46,10.3,4.6
New Jersey,"7,367",896,138,12.2,1.8
New Mexico,"1,355",303,81,22.4,5.3
New York,"17,660","2,607",235,14.8,1.3
North Carolina,"5,928","1,201",160,20.3,2.5
North Dakota,658,85,43,12.9,6.1
Ohio,"10,710","1,366",171,12.8,1.5
Oklahoma,"3,111",478,102,15.4,3.0
Oregon,"2,557",354,87,13.9,3.1
Pennsylvania,"11,620","1,572",183,13.5,1.5
Rhode Island,942,125,53,13.3,5.1
South Carolina,"3,301",701,123,21.2,3.3
South Dakota,677,114,49,16.8,6.6
Tennessee,"4,679","1,106",155,23.6,3.0
Texas,"15,150","2,450",229,16.2,1.3
Utah,"1,575",229,71,14.5,4.1
Vermont,519,67,38,12.9,6.9
Virginia,"5,329",668,120,12.5,2.1
Washington,"4,259",549,109,12.9,2.3
West Virginia,"1,951",484,102,24.8,4.6
Wisconsin,"4,733",452,99,9.5,2.0
Wyoming,481,58,35,12.0,6.9
1981 (18),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"3,878",935,141,24.1,3.1
Alaska,403,36,28,9.0,6.6
Arizona,"2,751",323,84,11.7,2.8
Arkansas,"2,247",541,107,24.1,4.1
California,"24,110","3,216",262,13.3,1.0
Colorado,"2,958",285,79,9.6,2.5
Connecticut,"3,084",254,74,8.2,2.3
Delaware,587,72,39,12.3,6.3
District of Columbia,612,111,49,18.1,7.2
Florida,"10,280","1,704",191,16.6,1.6
Georgia,"5,415",881,138,16.3,2.3
Hawaii,953,108,48,11.3,4.8
Idaho,962,171,61,17.7,5.8
Illinois,"11,340","1,371",171,12.1,1.5
Indiana,"5,431",685,122,12.6,2.1
Iowa,"2,815",368,89,13.1,3.0
Kansas,"2,282",267,76,11.7,3.1
Kentucky,"3,668",708,123,19.3,3.0
Louisiana,"4,262",938,141,22.0,3.0
Maine,"1,116",179,63,16.0,5.1
Maryland,"4,123",442,97,10.7,2.3
Massachusetts,"5,804",518,105,8.9,1.8
Michigan,"9,096","1,184",160,13.0,1.6
Minnesota,"4,034",438,97,10.9,2.3
Mississippi,"2,408",618,115,25.7,4.1
Missouri,"4,814",634,117,13.2,2.3
Montana,813,107,48,13.1,5.4
Nebraska,"1,579",221,69,14.0,4.1
Nevada,884,93,44,10.5,4.8
New Hampshire,929,70,39,7.6,3.9
New Jersey,"7,331",736,125,10.0,1.6
New Mexico,"1,303",243,72,18.6,4.9
New York,"17,470","2,516",232,14.4,1.2
North Carolina,"5,820","1,016",148,17.5,2.3
North Dakota,626,89,44,14.2,6.4
Ohio,"10,750","1,369",171,12.7,1.5
Oklahoma,"2,985",413,94,13.8,3.0
Oregon,"2,693",331,84,12.3,3.0
Pennsylvania,"11,740","1,367",171,11.6,1.3
Rhode Island,936,109,48,11.7,4.9
South Carolina,"3,347",615,115,18.4,3.1
South Dakota,675,132,53,19.5,7.1
Tennessee,"4,502",943,141,20.9,2.8
Texas,"14,640","2,258",219,15.4,1.3
Utah,"1,516",185,63,12.2,3.9
Vermont,535,66,38,12.3,6.6
Virginia,"5,257",662,118,12.6,2.1
Washington,"4,168",471,100,11.3,2.3
West Virginia,"2,003",398,92,19.9,4.1
Wisconsin,"4,741",384,90,8.1,1.8
Wyoming,482,43,30,8.9,6.1
1980,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"3,831",810,132,21.2,3.1
Alaska,379,36,28,9.6,7.1
Arizona,"2,774",354,87,12.8,3.0
Arkansas,"2,249",484,102,21.5,3.9
California,"23,750","2,619",237,11.0,1.0
Colorado,"2,869",247,72,8.6,2.5
Connecticut,"3,090",255,74,8.3,2.3
Delaware,578,68,38,11.8,6.3
District of Columbia,626,131,53,20.9,7.6
Florida,"10,100","1,692",191,16.7,1.6
Georgia,"5,243",727,125,13.9,2.1
Hawaii,954,81,41,8.5,4.1
Idaho,934,138,54,14.7,5.4
Illinois,"11,260","1,386",173,12.3,1.5
Indiana,"5,490",645,118,11.8,2.0
Iowa,"2,868",311,82,10.8,2.6
Kansas,"2,286",215,67,9.4,2.8
Kentucky,"3,641",701,123,19.3,3.0
Louisiana,"4,273",868,137,20.3,2.8
Maine,"1,077",158,58,14.6,4.9
Maryland,"4,104",389,92,9.5,2.1
Massachusetts,"5,725",542,109,9.5,1.8
Michigan,"9,227","1,194",160,12.9,1.6
Minnesota,"3,920",342,86,8.7,2.1
